arquivo,classe,area_px,aspect_ratio,solidez,circularidade,perimetro
0_IMG_20260419_160956110_HDR.jpg,milho,258175,0.596,0.0609,0.066,7012
90_IMG_20260419_160956110_HDR.jpg,milho,258175,1.6778,0.0609,0.066,7012
180_IMG_20260419_160956110_HDR.jpg,milho,258175,0.596,0.0609,0.066,7012
270_IMG_20260419_160956110_HDR.jpg,milho,258175,1.6778,0.0609,0.066,7012
0_IMG_20260419_160718620_HDR.jpg,milho,311834,2.3193,0.0484,0.0225,13204
90_IMG_20260419_160718620_HDR.jpg,milho,311834,0.4312,0.0484,0.0225,13204
180_IMG_20260419_160718620_HDR.jpg,milho,311834,2.3193,0.0484,0.0225,13204
270_IMG_20260419_160718620_HDR.jpg,milho,311834,0.4312,0.0484,0.0225,13204
0_coleta_20260420_162043_milho_20260420_155903.jpg,milho,399765,1.3582,0.0339,0.0048,32236
90_coleta_20260420_162043_milho_20260420_155903.jpg,milho,399765,0.7362,0.0339,0.0048,32236
180_coleta_20260420_162043_milho_20260420_155903.jpg,milho,399765,1.3582,0.0339,0.0048,32236
270_coleta_20260420_162043_milho_20260420_155903.jpg,milho,399765,0.7362,0.0339,0.0048,32236
0_coleta_20260420_162007_milho_20260420_160008.jpg,milho,444545,1.3333,0.037,0.0063,29865
90_coleta_20260420_162007_milho_20260420_160008.jpg,milho,444545,0.75,0.037,0.0063,29865
180_coleta_20260420_162007_milho_20260420_160008.jpg,milho,444545,1.3333,0.037,0.0063,29865
270_coleta_20260420_162007_milho_20260420_160008.jpg,milho,444545,0.75,0.037,0.0063,29865
0_coleta_20260420_162028_milho_20260420_155923.jpg,milho,777802,1.3414,0.0652,0.005,44313
90_coleta_20260420_162028_milho_20260420_155923.jpg,milho,777802,0.7455,0.0652,0.005,44313
180_coleta_20260420_162028_milho_20260420_155923.jpg,milho,777802,1.3414,0.0652,0.005,44313
270_coleta_20260420_162028_milho_20260420_155923.jpg,milho,777802,0.7455,0.0652,0.005,44313
0_coleta_20260420_161827_milho_20260420_160259.jpg,milho,211483,1.3581,0.0181,0.0255,10210
90_coleta_20260420_161827_milho_20260420_160259.jpg,milho,211483,0.7363,0.0181,0.0255,10210
180_coleta_20260420_161827_milho_20260420_160259.jpg,milho,211483,1.3581,0.0181,0.0255,10210
270_coleta_20260420_161827_milho_20260420_160259.jpg,milho,211483,0.7363,0.0181,0.0255,10210
0_IMG_20260419_160959080_HDR.jpg,milho,617181,1.4166,0.0634,0.0291,16324
90_IMG_20260419_160959080_HDR.jpg,milho,617181,0.7059,0.0634,0.0291,16324
180_IMG_20260419_160959080_HDR.jpg,milho,617181,1.4166,0.0634,0.0291,16324
270_IMG_20260419_160959080_HDR.jpg,milho,617181,0.7059,0.0634,0.0291,16324
0_IMG_20260419_160917467_HDR.jpg,milho,336826,1.5042,0.1104,0.0637,8153
90_IMG_20260419_160917467_HDR.jpg,milho,336826,0.6648,0.1104,0.0637,8153
180_IMG_20260419_160917467_HDR.jpg,milho,336826,1.5042,0.1104,0.0637,8153
270_IMG_20260419_160917467_HDR.jpg,milho,336826,0.6648,0.1104,0.0637,8153
0_IMG_20260419_160827024_HDR.jpg,milho,654410,2.1575,0.0882,0.0136,24622
90_IMG_20260419_160827024_HDR.jpg,milho,654410,0.4635,0.0882,0.0136,24622
180_IMG_20260419_160827024_HDR.jpg,milho,654410,2.1575,0.0882,0.0136,24622
270_IMG_20260419_160827024_HDR.jpg,milho,654410,0.4635,0.0882,0.0136,24622
0_coleta_20260420_161818_milho_20260420_160314.jpg,milho,530742,1.2777,0.0462,0.0219,17459
90_coleta_20260420_161818_milho_20260420_160314.jpg,milho,530742,0.7827,0.0462,0.0219,17459
180_coleta_20260420_161818_milho_20260420_160314.jpg,milho,530742,1.2777,0.0462,0.0219,17459
270_coleta_20260420_161818_milho_20260420_160314.jpg,milho,530742,0.7827,0.0462,0.0219,17459
0_IMG_20260419_160741189_HDR.jpg,milho,766915,2.1105,0.1026,0.0281,18527
90_IMG_20260419_160741189_HDR.jpg,milho,766915,0.4738,0.1026,0.0281,18527
180_IMG_20260419_160741189_HDR.jpg,milho,766915,2.1105,0.1026,0.0281,18527
270_IMG_20260419_160741189_HDR.jpg,milho,766915,0.4738,0.1026,0.0281,18527
0_IMG_20260419_160751689_HDR.jpg,milho,243722,1.5256,0.0232,0.0164,13669
90_IMG_20260419_160751689_HDR.jpg,milho,243722,0.6555,0.0232,0.0164,13669
180_IMG_20260419_160751689_HDR.jpg,milho,243722,1.5256,0.0232,0.0164,13669
270_IMG_20260419_160751689_HDR.jpg,milho,243722,0.6555,0.0232,0.0164,13669
0_coleta_20260420_161751_milho_20260420_160336.jpg,milho,438702,1.3366,0.0369,0.0126,20876
90_coleta_20260420_161751_milho_20260420_160336.jpg,milho,438702,0.7482,0.0369,0.0126,20876
180_coleta_20260420_161751_milho_20260420_160336.jpg,milho,438702,1.3366,0.0369,0.0126,20876
270_coleta_20260420_161751_milho_20260420_160336.jpg,milho,438702,0.7482,0.0369,0.0126,20876
0_coleta_20260420_161856_milho_20260420_160231.jpg,milho,339066,1.2664,0.0352,0.0297,11970
90_coleta_20260420_161856_milho_20260420_160231.jpg,milho,339066,0.7896,0.0352,0.0297,11970
180_coleta_20260420_161856_milho_20260420_160231.jpg,milho,339066,1.2664,0.0352,0.0297,11970
270_coleta_20260420_161856_milho_20260420_160231.jpg,milho,339066,0.7896,0.0352,0.0297,11970
0_IMG_20260419_161059574_HDR.jpg,milho,314343,1.2552,0.0477,0.0199,14096
90_IMG_20260419_161059574_HDR.jpg,milho,314343,0.7967,0.0477,0.0199,14096
180_IMG_20260419_161059574_HDR.jpg,milho,314343,1.2552,0.0477,0.0199,14096
270_IMG_20260419_161059574_HDR.jpg,milho,314343,0.7967,0.0477,0.0199,14096
0_IMG_20260419_160831185_HDR.jpg,milho,176197,1.3991,0.0154,0.0146,12308
90_IMG_20260419_160831185_HDR.jpg,milho,176197,0.7148,0.0154,0.0146,12308
180_IMG_20260419_160831185_HDR.jpg,milho,176197,1.3991,0.0154,0.0146,12308
270_IMG_20260419_160831185_HDR.jpg,milho,176197,0.7148,0.0154,0.0146,12308
0_coleta_20260420_161905_milho_20260420_160216.jpg,milho,316125,1.197,0.0293,0.0114,18662
90_coleta_20260420_161905_milho_20260420_160216.jpg,milho,316125,0.8354,0.0293,0.0114,18662
180_coleta_20260420_161905_milho_20260420_160216.jpg,milho,316125,1.197,0.0293,0.0114,18662
270_coleta_20260420_161905_milho_20260420_160216.jpg,milho,316125,0.8354,0.0293,0.0114,18662
0_coleta_20260420_162011_milho_20260420_155956.jpg,milho,418390,1.3365,0.0349,0.0039,36658
90_coleta_20260420_162011_milho_20260420_155956.jpg,milho,418390,0.7482,0.0349,0.0039,36658
180_coleta_20260420_162011_milho_20260420_155956.jpg,milho,418390,1.3365,0.0349,0.0039,36658
270_coleta_20260420_162011_milho_20260420_155956.jpg,milho,418390,0.7482,0.0349,0.0039,36658
0_coleta_20260420_161745_milho_20260420_160339.jpg,milho,352023,1.3003,0.0301,0.0135,18071
90_coleta_20260420_161745_milho_20260420_160339.jpg,milho,352023,0.769,0.0301,0.0135,18071
180_coleta_20260420_161745_milho_20260420_160339.jpg,milho,352023,1.3003,0.0301,0.0135,18071
