arquivo,classe,area_px,area_relativa,aspect_ratio,solidez,circularidade,perimetro,perimetro_norm
0_IMG_20260419_160956110_HDR.jpg,milho,238547,0.019879,0.5927,0.0567,0.0577,7206,14.7539
90_IMG_20260419_160956110_HDR.jpg,milho,238547,0.019879,1.6871,0.0567,0.0577,7206,14.7539
180_IMG_20260419_160956110_HDR.jpg,milho,238547,0.019879,0.5927,0.0567,0.0577,7206,14.7539
270_IMG_20260419_160956110_HDR.jpg,milho,238547,0.019879,1.6871,0.0567,0.0577,7206,14.7539
0_IMG_20260419_160718620_HDR.jpg,milho,280143,0.023345,1.9453,0.0532,0.0201,13238,25.0111
90_IMG_20260419_160718620_HDR.jpg,milho,280143,0.023345,0.5141,0.0532,0.0201,13238,25.0111
180_IMG_20260419_160718620_HDR.jpg,milho,280143,0.023345,1.9453,0.0532,0.0201,13238,25.0111
270_IMG_20260419_160718620_HDR.jpg,milho,280143,0.023345,0.5141,0.0532,0.0201,13238,25.0111
0_coleta_20260420_162043_milho_20260420_155903.jpg,milho,341272,0.028439,1.3473,0.0331,0.0106,20107,34.4189
90_coleta_20260420_162043_milho_20260420_155903.jpg,milho,341272,0.028439,0.7422,0.0331,0.0106,20107,34.4189
180_coleta_20260420_162043_milho_20260420_155903.jpg,milho,341272,0.028439,1.3473,0.0331,0.0106,20107,34.4189
270_coleta_20260420_162043_milho_20260420_155903.jpg,milho,341272,0.028439,0.7422,0.0331,0.0106,20107,34.4189
0_coleta_20260421_150043_milho_20260421_145245.jpg,milho,574658,0.047888,1.3333,0.0479,0.014,22747,30.0068
90_coleta_20260421_150043_milho_20260421_145245.jpg,milho,574658,0.047888,0.75,0.0479,0.014,22747,30.0068
180_coleta_20260421_150043_milho_20260421_145245.jpg,milho,574658,0.047888,1.3333,0.0479,0.014,22747,30.0068
270_coleta_20260421_150043_milho_20260421_145245.jpg,milho,574658,0.047888,0.75,0.0479,0.014,22747,30.0068
0_coleta_20260420_162007_milho_20260420_160008.jpg,milho,399121,0.03326,1.3246,0.0689,0.0311,12690,20.0867
90_coleta_20260420_162007_milho_20260420_160008.jpg,milho,399121,0.03326,0.755,0.0689,0.0311,12690,20.0867
180_coleta_20260420_162007_milho_20260420_160008.jpg,milho,399121,0.03326,1.3246,0.0689,0.0311,12690,20.0867
270_coleta_20260420_162007_milho_20260420_160008.jpg,milho,399121,0.03326,0.755,0.0689,0.0311,12690,20.0867
0_coleta_20260420_162028_milho_20260420_155923.jpg,milho,677537,0.056461,1.3589,0.0588,0.0144,24284,29.5022
90_coleta_20260420_162028_milho_20260420_155923.jpg,milho,677537,0.056461,0.7359,0.0588,0.0144,24284,29.5022
180_coleta_20260420_162028_milho_20260420_155923.jpg,milho,677537,0.056461,1.3589,0.0588,0.0144,24284,29.5022
270_coleta_20260420_162028_milho_20260420_155923.jpg,milho,677537,0.056461,0.7359,0.0588,0.0144,24284,29.5022
0_coleta_20260421_145952_milho_20260421_145350.jpg,milho,402859,0.033572,1.4962,0.0433,0.0159,17868,28.1514
90_coleta_20260421_145952_milho_20260421_145350.jpg,milho,402859,0.033572,0.6684,0.0433,0.0159,17868,28.1514
180_coleta_20260421_145952_milho_20260421_145350.jpg,milho,402859,0.033572,1.4962,0.0433,0.0159,17868,28.1514
270_coleta_20260421_145952_milho_20260421_145350.jpg,milho,402859,0.033572,0.6684,0.0433,0.0159,17868,28.1514
0_coleta_20260420_161827_milho_20260420_160259.jpg,milho,196021,0.016335,1.522,0.0191,0.0314,8862,20.0161
90_coleta_20260420_161827_milho_20260420_160259.jpg,milho,196021,0.016335,0.657,0.0191,0.0314,8862,20.0161
180_coleta_20260420_161827_milho_20260420_160259.jpg,milho,196021,0.016335,1.522,0.0191,0.0314,8862,20.0161
270_coleta_20260420_161827_milho_20260420_160259.jpg,milho,196021,0.016335,0.657,0.0191,0.0314,8862,20.0161
0_IMG_20260419_160959080_HDR.jpg,milho,575228,0.047936,1.2712,0.066,0.028,16079,21.2002
90_IMG_20260419_160959080_HDR.jpg,milho,575228,0.047936,0.7867,0.066,0.028,16079,21.2002
180_IMG_20260419_160959080_HDR.jpg,milho,575228,0.047936,1.2712,0.066,0.028,16079,21.2002
270_IMG_20260419_160959080_HDR.jpg,milho,575228,0.047936,0.7867,0.066,0.028,16079,21.2002
0_coleta_20260421_145959_milho_20260421_145341.jpg,milho,281382,0.023449,1.7033,0.0303,0.0097,19047,35.9069
90_coleta_20260421_145959_milho_20260421_145341.jpg,milho,281382,0.023449,0.5871,0.0303,0.0097,19047,35.9069
180_coleta_20260421_145959_milho_20260421_145341.jpg,milho,281382,0.023449,1.7033,0.0303,0.0097,19047,35.9069
270_coleta_20260421_145959_milho_20260421_145341.jpg,milho,281382,0.023449,0.5871,0.0303,0.0097,19047,35.9069
0_IMG_20260419_160917467_HDR.jpg,milho,311564,0.025964,1.5199,0.1034,0.0555,8397,15.0436
90_IMG_20260419_160917467_HDR.jpg,milho,311564,0.025964,0.6579,0.1034,0.0555,8397,15.0436
180_IMG_20260419_160917467_HDR.jpg,milho,311564,0.025964,1.5199,0.1034,0.0555,8397,15.0436
270_IMG_20260419_160917467_HDR.jpg,milho,311564,0.025964,0.6579,0.1034,0.0555,8397,15.0436
0_IMG_20260419_160827024_HDR.jpg,milho,549405,0.045784,2.168,0.0744,0.0143,21957,29.6228
90_IMG_20260419_160827024_HDR.jpg,milho,549405,0.045784,0.4612,0.0744,0.0143,21957,29.6228
180_IMG_20260419_160827024_HDR.jpg,milho,549405,0.045784,2.168,0.0744,0.0143,21957,29.6228
270_IMG_20260419_160827024_HDR.jpg,milho,549405,0.045784,0.4612,0.0744,0.0143,21957,29.6228
0_coleta_20260421_145949_milho_20260421_145354.jpg,milho,523251,0.043604,1.3621,0.049,0.013,22506,31.1131
90_coleta_20260421_145949_milho_20260421_145354.jpg,milho,523251,0.043604,0.7341,0.049,0.013,22506,31.1131
180_coleta_20260421_145949_milho_20260421_145354.jpg,milho,523251,0.043604,1.3621,0.049,0.013,22506,31.1131
270_coleta_20260421_145949_milho_20260421_145354.jpg,milho,523251,0.043604,0.7341,0.049,0.013,22506,31.1131
0_coleta_20260421_150054_milho_20260421_145237.jpg,milho,306925,0.025577,1.3396,0.0257,0.0158,15604,28.1657
90_coleta_20260421_150054_milho_20260421_145237.jpg,milho,306925,0.025577,0.7465,0.0257,0.0158,15604,28.1657
180_coleta_20260421_150054_milho_20260421_145237.jpg,milho,306925,0.025577,1.3396,0.0257,0.0158,15604,28.1657
270_coleta_20260421_150054_milho_20260421_145237.jpg,milho,306925,0.025577,0.7465,0.0257,0.0158,15604,28.1657
0_coleta_20260420_161818_milho_20260420_160314.jpg,milho,495402,0.041284,0.91,0.0605,0.0182,18491,26.2713
90_coleta_20260420_161818_milho_20260420_160314.jpg,milho,495402,0.041284,1.0989,0.0605,0.0182,18491,26.2713
180_coleta_20260420_161818_milho_20260420_160314.jpg,milho,495402,0.041284,0.91,0.0605,0.0182,18491,26.2713
270_coleta_20260420_161818_milho_20260420_160314.jpg,milho,495402,0.041284,1.0989,0.0605,0.0182,18491,26.2713
0_coleta_20260421_162908_milho_20260421_162238.jpg,milho,564116,0.04701,1.3053,0.048,0.0132,23138,30.8064
90_coleta_20260421_162908_milho_20260421_162238.jpg,milho,564116,0.04701,0.7661,0.048,0.0132,23138,30.8064
180_coleta_20260421_162908_milho_20260421_162238.jpg,milho,564116,0.04701,1.3053,0.048,0.0132,23138,30.8064
270_coleta_20260421_162908_milho_20260421_162238.jpg,milho,564116,0.04701,0.7661,0.048,0.0132,23138,30.8064
0_coleta_20260421_162815_milho_20260421_162336.jpg,milho,244049,0.020337,1.0446,0.0464,0.0372,9074,18.3679
90_coleta_20260421_162815_milho_20260421_162336.jpg,milho,244049,0.020337,0.9573,0.0464,0.0372,9074,18.3679
180_coleta_20260421_162815_milho_20260421_162336.jpg,milho,244049,0.020337,1.0446,0.0464,0.0372,9074,18.3679
270_coleta_20260421_162815_milho_20260421_162336.jpg,milho,244049,0.020337,0.9573,0.0464,0.0372,9074,18.3679
0_IMG_20260419_160741189_HDR.jpg,milho,688373,0.057364,1.9427,0.1035,0.0357,15567,18.7626
90_IMG_20260419_160741189_HDR.jpg,milho,688373,0.057364,0.5147,0.1035,0.0357,15567,18.7626
180_IMG_20260419_160741189_HDR.jpg,milho,688373,0.057364,1.9427,0.1035,0.0357,15567,18.7626
270_IMG_20260419_160741189_HDR.jpg,milho,688373,0.057364,0.5147,0.1035,0.0357,15567,18.7626
0_coleta_20260421_150028_milho_20260421_145300.jpg,milho,430309,0.035859,1.324,0.0361,0.0116,21618,32.9553
90_coleta_20260421_150028_milho_20260421_145300.jpg,milho,430309,0.035859,0.7553,0.0361,0.0116,21618,32.9553
180_coleta_20260421_150028_milho_20260421_145300.jpg,milho,430309,0.035859,1.324,0.0361,0.0116,21618,32.9553
270_coleta_20260421_150028_milho_20260421_145300.jpg,milho,430309,0.035859,0.7553,0.0361,0.0116,21618,32.9553
0_coleta_20260421_150102_milho_20260421_145231.jpg,milho,278313,0.023193,1.3249,0.0241,0.0103,18410,34.8969
90_coleta_20260421_150102_milho_20260421_145231.jpg,milho,278313,0.023193,0.7548,0.0241,0.0103,18410,34.8969
180_coleta_20260421_150102_milho_20260421_145231.jpg,milho,278313,0.023193,1.3249,0.0241,0.0103,18410,34.8969
