arquivo,classe,area_px,area_relativa,aspect_ratio,solidez,circularidade,perimetro,perimetro_norm,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
0_p0_IMG_20260419_160956110_HDR.jpg,milho,236757,0.145715,1.5345,0.1457,0.0684,6596,13.5559,0.003202,0.05585,2.255084,2.100695,4.290974,2.196914,4.906605
90_p0_IMG_20260419_160956110_HDR.jpg,milho,236757,0.145715,0.6517,0.1457,0.0684,6596,13.5559,0.003202,0.05585,2.255084,2.100695,4.290974,2.196914,4.906605
180_p0_IMG_20260419_160956110_HDR.jpg,milho,236757,0.145715,1.5345,0.1457,0.0684,6596,13.5559,0.003202,0.05585,2.255084,2.100695,4.290974,2.196914,4.906605
270_p0_IMG_20260419_160956110_HDR.jpg,milho,236757,0.145715,0.6517,0.1457,0.0684,6596,13.5559,0.003202,0.05585,2.255084,2.100695,4.290974,2.196914,4.906605
0_p0_coleta_20260423_084018_milho_20260423_082323.jpg,milho,87514,0.23112,0.7224,0.2311,0.0311,5950,20.1131,0.364101,1.531273,1.38019,2.274644,4.106002,3.126987,4.974598
0_p1_coleta_20260423_084018_milho_20260423_082323.jpg,milho,21871,0.496572,0.4643,0.4966,0.1212,1506,10.1833,0.459333,1.213218,2.273086,3.759735,-6.810956,-4.379933,7.190846
0_p2_coleta_20260423_084018_milho_20260423_082323.jpg,milho,19724,0.578094,1.4575,0.5781,0.4395,751,5.3474,0.683535,1.945584,3.241431,3.713713,7.204021,4.758463,7.813486
0_p3_coleta_20260423_084018_milho_20260423_082323.jpg,milho,9323,0.582105,0.7832,0.5821,0.7585,393,4.0702,0.676783,1.874514,2.614519,3.681163,7.189321,5.44054,6.874834
0_p4_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2570,0.32005,1.5068,0.32,0.3588,300,5.9177,0.432512,1.02292,1.715329,2.077086,3.978788,2.663288,-4.774468
0_p5_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2534,0.25565,1.4048,0.2556,0.1411,475,9.4361,0.250886,0.603742,2.319912,2.999204,5.842117,-4.601354,5.780757
90_p0_coleta_20260423_084018_milho_20260423_082323.jpg,milho,87514,0.23112,1.3843,0.2311,0.0311,5950,20.1131,0.364101,1.531273,1.38019,2.274644,4.106002,3.126987,4.974598
90_p1_coleta_20260423_084018_milho_20260423_082323.jpg,milho,21871,0.496572,2.1538,0.4966,0.1212,1506,10.1833,0.459333,1.213218,2.273086,3.759735,-6.810956,-4.379933,7.190846
90_p2_coleta_20260423_084018_milho_20260423_082323.jpg,milho,19724,0.578094,0.6861,0.5781,0.4395,751,5.3474,0.683535,1.945584,3.241431,3.713713,7.204021,4.758463,7.813486
90_p3_coleta_20260423_084018_milho_20260423_082323.jpg,milho,9323,0.582105,1.2768,0.5821,0.7585,393,4.0702,0.676783,1.874514,2.614519,3.681163,7.189321,5.44054,6.874834
90_p4_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2570,0.32005,0.6636,0.32,0.3588,300,5.9177,0.432512,1.02292,1.715329,2.077086,3.978788,2.663288,-4.774468
90_p5_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2534,0.25565,0.7119,0.2556,0.1411,475,9.4361,0.250886,0.603742,2.319912,2.999204,5.842117,-4.601354,5.780757
180_p0_coleta_20260423_084018_milho_20260423_082323.jpg,milho,87514,0.23112,0.7224,0.2311,0.0311,5950,20.1131,0.364101,1.531273,1.38019,2.274644,4.106002,3.126987,4.974598
180_p1_coleta_20260423_084018_milho_20260423_082323.jpg,milho,21871,0.496572,0.4643,0.4966,0.1212,1506,10.1833,0.459333,1.213218,2.273086,3.759735,-6.810956,-4.379933,7.190846
180_p2_coleta_20260423_084018_milho_20260423_082323.jpg,milho,19724,0.578094,1.4575,0.5781,0.4395,751,5.3474,0.683535,1.945584,3.241431,3.713713,7.204021,4.758463,7.813486
180_p3_coleta_20260423_084018_milho_20260423_082323.jpg,milho,9323,0.582105,0.7832,0.5821,0.7585,393,4.0702,0.676783,1.874514,2.614519,3.681163,7.189321,5.44054,6.874834
180_p4_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2570,0.32005,1.5068,0.32,0.3588,300,5.9177,0.432512,1.02292,1.715329,2.077086,3.978788,2.663288,-4.774468
180_p5_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2534,0.25565,1.4048,0.2556,0.1411,475,9.4361,0.250886,0.603742,2.319912,2.999204,5.842117,-4.601354,5.780757
270_p0_coleta_20260423_084018_milho_20260423_082323.jpg,milho,87514,0.23112,1.3843,0.2311,0.0311,5950,20.1131,0.364101,1.531273,1.38019,2.274644,4.106002,3.126987,4.974598
270_p1_coleta_20260423_084018_milho_20260423_082323.jpg,milho,21871,0.496572,2.1538,0.4966,0.1212,1506,10.1833,0.459333,1.213218,2.273086,3.759735,-6.810956,-4.379933,7.190846
270_p2_coleta_20260423_084018_milho_20260423_082323.jpg,milho,19724,0.578094,0.6861,0.5781,0.4395,751,5.3474,0.683535,1.945584,3.241431,3.713713,7.204021,4.758463,7.813486
270_p3_coleta_20260423_084018_milho_20260423_082323.jpg,milho,9323,0.582105,1.2768,0.5821,0.7585,393,4.0702,0.676783,1.874514,2.614519,3.681163,7.189321,5.44054,6.874834
270_p4_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2570,0.32005,0.6636,0.32,0.3588,300,5.9177,0.432512,1.02292,1.715329,2.077086,3.978788,2.663288,-4.774468
270_p5_coleta_20260423_084018_milho_20260423_082323.jpg,milho,2534,0.25565,0.7119,0.2556,0.1411,475,9.4361,0.250886,0.603742,2.319912,2.999204,5.842117,-4.601354,5.780757
0_p0_coleta_20260423_083538_milho_20260423_082621.jpg,milho,108986,0.182444,0.8039,0.1824,0.0323,6513,19.7286,0.291385,1.154058,0.946456,1.662795,3.012874,2.344891,3.32934
0_p1_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2992,0.422838,0.5259,0.4228,0.3,354,6.4718,0.420512,0.954957,2.600413,3.189245,6.158087,3.988715,-6.353752
0_p2_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2633,0.665571,1.8696,0.6656,0.6095,233,4.5408,0.683467,1.842249,3.022177,3.942154,7.735376,-6.141584,-7.483547
0_p3_coleta_20260423_083538_milho_20260423_082621.jpg,milho,1426,0.44094,1.3469,0.4409,0.2631,261,6.9116,0.552924,1.562397,2.013133,2.809664,5.251836,3.796698,-5.66056
90_p0_coleta_20260423_083538_milho_20260423_082621.jpg,milho,108986,0.182444,1.2439,0.1824,0.0323,6513,19.7286,0.291385,1.154058,0.946456,1.662795,3.012874,2.344891,3.32934
90_p1_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2992,0.422838,1.9016,0.4228,0.3,354,6.4718,0.420512,0.954957,2.600413,3.189245,6.158087,3.988715,-6.353752
90_p2_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2633,0.665571,0.5349,0.6656,0.6095,233,4.5408,0.683467,1.842249,3.022177,3.942154,7.735376,-6.141584,-7.483547
90_p3_coleta_20260423_083538_milho_20260423_082621.jpg,milho,1426,0.44094,0.7424,0.4409,0.2631,261,6.9116,0.552924,1.562397,2.013133,2.809664,5.251836,3.796698,-5.66056
180_p0_coleta_20260423_083538_milho_20260423_082621.jpg,milho,108986,0.182444,0.8039,0.1824,0.0323,6513,19.7286,0.291385,1.154058,0.946456,1.662795,3.012874,2.344891,3.32934
180_p1_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2992,0.422838,0.5259,0.4228,0.3,354,6.4718,0.420512,0.954957,2.600413,3.189245,6.158087,3.988715,-6.353752
180_p2_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2633,0.665571,1.8696,0.6656,0.6095,233,4.5408,0.683467,1.842249,3.022177,3.942154,7.735376,-6.141584,-7.483547
180_p3_coleta_20260423_083538_milho_20260423_082621.jpg,milho,1426,0.44094,1.3469,0.4409,0.2631,261,6.9116,0.552924,1.562397,2.013133,2.809664,5.251836,3.796698,-5.66056
270_p0_coleta_20260423_083538_milho_20260423_082621.jpg,milho,108986,0.182444,1.2439,0.1824,0.0323,6513,19.7286,0.291385,1.154058,0.946456,1.662795,3.012874,2.344891,3.32934
270_p1_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2992,0.422838,1.9016,0.4228,0.3,354,6.4718,0.420512,0.954957,2.600413,3.189245,6.158087,3.988715,-6.353752
270_p2_coleta_20260423_083538_milho_20260423_082621.jpg,milho,2633,0.665571,0.5349,0.6656,0.6095,233,4.5408,0.683467,1.842249,3.022177,3.942154,7.735376,-6.141584,-7.483547
270_p3_coleta_20260423_083538_milho_20260423_082621.jpg,milho,1426,0.44094,0.7424,0.4409,0.2631,261,6.9116,0.552924,1.562397,2.013133,2.809664,5.251836,3.796698,-5.66056
0_p0_IMG_20260419_160718620_HDR.jpg,milho,104114,0.204443,1.702,0.2044,0.1088,3468,10.7479,0.113299,0.269888,2.406967,3.125962,6.037639,-4.502188,6.048377
0_p1_IMG_20260419_160718620_HDR.jpg,milho,63493,0.285118,1.4641,0.2851,0.117,2611,10.362,0.284857,0.668464,1.847447,2.632164,5.190258,3.481304,-4.928978
0_p2_IMG_20260419_160718620_HDR.jpg,milho,48100,0.146441,0.7703,0.1464,0.0354,4131,18.8357,0.131513,1.098405,0.355691,0.987725,2.018661,1.957221,1.705518
0_p3_IMG_20260419_160718620_HDR.jpg,milho,34485,0.556802,2.0694,0.5568,0.3536,1107,5.9612,0.625764,1.542682,3.425866,4.21287,8.08932,5.302286,8.350283
0_p4_IMG_20260419_160718620_HDR.jpg,milho,26829,0.562029,1.9615,0.562,0.3099,1043,6.3677,0.568893,1.426505,2.369293,2.828913,5.432157,3.560214,-6.289909
0_p5_IMG_20260419_160718620_HDR.jpg,milho,2763,0.575625,1.3333,0.5756,0.3188,330,6.278,0.73713,5.415172,3.505994,5.616374,-10.186175,-8.451141,-10.882556
90_p0_IMG_20260419_160718620_HDR.jpg,milho,104114,0.204443,0.5875,0.2044,0.1088,3468,10.7479,0.113299,0.269888,2.406967,3.125962,6.037639,-4.502188,6.048377
90_p1_IMG_20260419_160718620_HDR.jpg,milho,63493,0.285118,0.683,0.2851,0.117,2611,10.362,0.284857,0.668464,1.847447,2.632164,5.190258,3.481304,-4.928978
90_p2_IMG_20260419_160718620_HDR.jpg,milho,48100,0.146441,1.2982,0.1464,0.0354,4131,18.8357,0.131513,1.098405,0.355691,0.987725,2.018661,1.957221,1.705518
90_p3_IMG_20260419_160718620_HDR.jpg,milho,34485,0.556802,0.4832,0.5568,0.3536,1107,5.9612,0.625764,1.542682,3.425866,4.21287,8.08932,5.302286,8.350283
90_p4_IMG_20260419_160718620_HDR.jpg,milho,26829,0.562029,0.5098,0.562,0.3099,1043,6.3677,0.568893,1.426505,2.369293,2.828913,5.432157,3.560214,-6.289909
90_p5_IMG_20260419_160718620_HDR.jpg,milho,2763,0.575625,0.75,0.5756,0.3188,330,6.278,0.73713,5.415172,3.505994,5.616374,-10.186175,-8.451141,-10.882556
180_p0_IMG_20260419_160718620_HDR.jpg,milho,104114,0.204443,1.702,0.2044,0.1088,3468,10.7479,0.113299,0.269888,2.406967,3.125962,6.037639,-4.502188,6.048377
180_p1_IMG_20260419_160718620_HDR.jpg,milho,63493,0.285118,1.4641,0.2851,0.117,2611,10.362,0.284857,0.668464,1.847447,2.632164,5.190258,3.481304,-4.928978
180_p2_IMG_20260419_160718620_HDR.jpg,milho,48100,0.146441,0.7703,0.1464,0.0354,4131,18.8357,0.131513,1.098405,0.355691,0.987725,2.018661,1.957221,1.705518
180_p3_IMG_20260419_160718620_HDR.jpg,milho,34485,0.556802,2.0694,0.5568,0.3536,1107,5.9612,0.625764,1.542682,3.425866,4.21287,8.08932,5.302286,8.350283
180_p4_IMG_20260419_160718620_HDR.jpg,milho,26829,0.562029,1.9615,0.562,0.3099,1043,6.3677,0.568893,1.426505,2.369293,2.828913,5.432157,3.560214,-6.289909
180_p5_IMG_20260419_160718620_HDR.jpg,milho,2763,0.575625,1.3333,0.5756,0.3188,330,6.278,0.73713,5.415172,3.505994,5.616374,-10.186175,-8.451141,-10.882556
270_p0_IMG_20260419_160718620_HDR.jpg,milho,104114,0.204443,0.5875,0.2044,0.1088,3468,10.7479,0.113299,0.269888,2.406967,3.125962,6.037639,-4.502188,6.048377
270_p1_IMG_20260419_160718620_HDR.jpg,milho,63493,0.285118,0.683,0.2851,0.117,2611,10.362,0.284857,0.668464,1.847447,2.632164,5.190258,3.481304,-4.928978
270_p2_IMG_20260419_160718620_HDR.jpg,milho,48100,0.146441,1.2982,0.1464,0.0354,4131,18.8357,0.131513,1.098405,0.355691,0.987725,2.018661,1.957221,1.705518
270_p3_IMG_20260419_160718620_HDR.jpg,milho,34485,0.556802,0.4832,0.5568,0.3536,1107,5.9612,0.625764,1.542682,3.425866,4.21287,8.08932,5.302286,8.350283
270_p4_IMG_20260419_160718620_HDR.jpg,milho,26829,0.562029,0.5098,0.562,0.3099,1043,6.3677,0.568893,1.426505,2.369293,2.828913,5.432157,3.560214,-6.289909
270_p5_IMG_20260419_160718620_HDR.jpg,milho,2763,0.575625,0.75,0.5756,0.3188,330,6.278,0.73713,5.415172,3.505994,5.616374,-10.186175,-8.451141,-10.882556
0_p0_coleta_20260422_083527_milho_20260422_082623.jpg,milho,339467,0.1799,1.1235,0.1799,0.0324,11467,19.6812,0.217795,1.454047,0.703672,2.009896,3.383059,2.870504,3.936057
0_p1_coleta_20260422_083527_milho_20260422_082623.jpg,milho,6134,0.466074,1.1495,0.4661,0.193,632,8.0695,0.589706,2.283343,1.959229,3.007933,5.518176,4.181806,5.960141
0_p2_coleta_20260422_083527_milho_20260422_082623.jpg,milho,2071,0.405284,1.0429,0.4053,0.3791,262,5.7572,0.524224,1.198183,3.332096,3.683096,7.197178,4.344795,-7.956316
90_p0_coleta_20260422_083527_milho_20260422_082623.jpg,milho,339467,0.1799,0.8901,0.1799,0.0324,11467,19.6812,0.217795,1.454047,0.703672,2.009896,3.383059,2.870504,3.936057
90_p1_coleta_20260422_083527_milho_20260422_082623.jpg,milho,6134,0.466074,0.8699,0.4661,0.193,632,8.0695,0.589706,2.283343,1.959229,3.007933,5.518176,4.181806,5.960141
90_p2_coleta_20260422_083527_milho_20260422_082623.jpg,milho,2071,0.405284,0.9589,0.4053,0.3791,262,5.7572,0.524224,1.198183,3.332096,3.683096,7.197178,4.344795,-7.956316
180_p0_coleta_20260422_083527_milho_20260422_082623.jpg,milho,339467,0.1799,1.1235,0.1799,0.0324,11467,19.6812,0.217795,1.454047,0.703672,2.009896,3.383059,2.870504,3.936057
180_p1_coleta_20260422_083527_milho_20260422_082623.jpg,milho,6134,0.466074,1.1495,0.4661,0.193,632,8.0695,0.589706,2.283343,1.959229,3.007933,5.518176,4.181806,5.960141
180_p2_coleta_20260422_083527_milho_20260422_082623.jpg,milho,2071,0.405284,1.0429,0.4053,0.3791,262,5.7572,0.524224,1.198183,3.332096,3.683096,7.197178,4.344795,-7.956316
270_p0_coleta_20260422_083527_milho_20260422_082623.jpg,milho,339467,0.1799,0.8901,0.1799,0.0324,11467,19.6812,0.217795,1.454047,0.703672,2.009896,3.383059,2.870504,3.936057
270_p1_coleta_20260422_083527_milho_20260422_082623.jpg,milho,6134,0.466074,0.8699,0.4661,0.193,632,8.0695,0.589706,2.283343,1.959229,3.007933,5.518176,4.181806,5.960141
270_p2_coleta_20260422_083527_milho_20260422_082623.jpg,milho,2071,0.405284,0.9589,0.4053,0.3791,262,5.7572,0.524224,1.198183,3.332096,3.683096,7.197178,4.344795,-7.956316
0_p0_coleta_20260423_083742_milho_20260423_082457.jpg,milho,210808,0.173503,1.5583,0.1735,0.026,10103,22.0043,0.151075,0.809068,1.127523,2.227369,-4.224114,-2.842565,-3.961522
0_p1_coleta_20260423_083742_milho_20260423_082457.jpg,milho,76530,0.221696,0.5659,0.2217,0.0866,3333,12.0481,0.188823,0.481986,1.373821,2.15309,-4.609505,-2.928324,3.925664
0_p2_coleta_20260423_083742_milho_20260423_082457.jpg,milho,16508,0.362256,1.0333,0.3623,0.207,1001,7.7909,0.521013,1.401804,2.069787,3.346172,-6.128293,-4.261152,6.323517
0_p3_coleta_20260423_083742_milho_20260423_082457.jpg,milho,14092,0.280538,1.4837,0.2805,0.2276,882,7.4299,0.308217,0.673013,2.012432,2.19085,4.293538,2.552061,5.451236
0_p4_coleta_20260423_083742_milho_20260423_082457.jpg,milho,12440,0.077583,0.584,0.0776,0.0405,1965,17.6178,-0.047167,0.105715,0.100861,0.175538,0.334298,0.233199,-0.835797
0_p5_coleta_20260423_083742_milho_20260423_082457.jpg,milho,9472,0.484997,1.2302,0.485,0.385,556,5.7129,0.622323,1.722704,2.593163,3.194725,6.406943,4.59596,-6.145682
0_p6_coleta_20260423_083742_milho_20260423_082457.jpg,milho,8051,0.152863,1.0132,0.1529,0.0756,1157,12.8946,0.13485,0.413939,0.505454,0.619193,1.184898,0.828444,-2.086965
0_p7_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3806,0.526782,1.0,0.5268,0.3065,395,6.4027,0.690361,1.920173,3.058834,3.878879,7.475183,4.98028,7.524064
0_p8_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3339,0.207908,0.7534,0.2079,0.1588,514,8.8952,0.183475,0.401431,1.603812,1.734907,3.404946,1.962821,4.656932
0_p9_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1889,0.374802,0.7143,0.3748,0.1521,395,9.0883,0.476228,1.875931,1.880151,4.098541,7.24599,5.036541,-7.231071
0_p10_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1626,0.636399,2.0857,0.6364,0.3607,238,5.9022,0.626257,1.560307,2.974186,4.09541,-7.638383,-4.877276,-8.346414
90_p0_coleta_20260423_083742_milho_20260423_082457.jpg,milho,210808,0.173503,0.6417,0.1735,0.026,10103,22.0043,0.151075,0.809068,1.127523,2.227369,-4.224114,-2.842565,-3.961522
90_p1_coleta_20260423_083742_milho_20260423_082457.jpg,milho,76530,0.221696,1.767,0.2217,0.0866,3333,12.0481,0.188823,0.481986,1.373821,2.15309,-4.609505,-2.928324,3.925664
90_p2_coleta_20260423_083742_milho_20260423_082457.jpg,milho,16508,0.362256,0.9677,0.3623,0.207,1001,7.7909,0.521013,1.401804,2.069787,3.346172,-6.128293,-4.261152,6.323517
90_p3_coleta_20260423_083742_milho_20260423_082457.jpg,milho,14092,0.280538,0.674,0.2805,0.2276,882,7.4299,0.308217,0.673013,2.012432,2.19085,4.293538,2.552061,5.451236
90_p4_coleta_20260423_083742_milho_20260423_082457.jpg,milho,12440,0.077583,1.7124,0.0776,0.0405,1965,17.6178,-0.047167,0.105715,0.100861,0.175538,0.334298,0.233199,-0.835797
90_p5_coleta_20260423_083742_milho_20260423_082457.jpg,milho,9472,0.484997,0.8129,0.485,0.385,556,5.7129,0.622323,1.722704,2.593163,3.194725,6.406943,4.59596,-6.145682
90_p6_coleta_20260423_083742_milho_20260423_082457.jpg,milho,8051,0.152863,0.987,0.1529,0.0756,1157,12.8946,0.13485,0.413939,0.505454,0.619193,1.184898,0.828444,-2.086965
90_p7_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3806,0.526782,1.0,0.5268,0.3065,395,6.4027,0.690361,1.920173,3.058834,3.878879,7.475183,4.98028,7.524064
90_p8_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3339,0.207908,1.3273,0.2079,0.1588,514,8.8952,0.183475,0.401431,1.603812,1.734907,3.404946,1.962821,4.656932
90_p9_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1889,0.374802,1.4,0.3748,0.1521,395,9.0883,0.476228,1.875931,1.880151,4.098541,7.24599,5.036541,-7.231071
90_p10_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1626,0.636399,0.4795,0.6364,0.3607,238,5.9022,0.626257,1.560307,2.974186,4.09541,-7.638383,-4.877276,-8.346414
180_p0_coleta_20260423_083742_milho_20260423_082457.jpg,milho,210808,0.173503,1.5583,0.1735,0.026,10103,22.0043,0.151075,0.809068,1.127523,2.227369,-4.224114,-2.842565,-3.961522
180_p1_coleta_20260423_083742_milho_20260423_082457.jpg,milho,76530,0.221696,0.5659,0.2217,0.0866,3333,12.0481,0.188823,0.481986,1.373821,2.15309,-4.609505,-2.928324,3.925664
180_p2_coleta_20260423_083742_milho_20260423_082457.jpg,milho,16508,0.362256,1.0333,0.3623,0.207,1001,7.7909,0.521013,1.401804,2.069787,3.346172,-6.128293,-4.261152,6.323517
180_p3_coleta_20260423_083742_milho_20260423_082457.jpg,milho,14092,0.280538,1.4837,0.2805,0.2276,882,7.4299,0.308217,0.673013,2.012432,2.19085,4.293538,2.552061,5.451236
180_p4_coleta_20260423_083742_milho_20260423_082457.jpg,milho,12440,0.077583,0.584,0.0776,0.0405,1965,17.6178,-0.047167,0.105715,0.100861,0.175538,0.334298,0.233199,-0.835797
180_p5_coleta_20260423_083742_milho_20260423_082457.jpg,milho,9472,0.484997,1.2302,0.485,0.385,556,5.7129,0.622323,1.722704,2.593163,3.194725,6.406943,4.59596,-6.145682
180_p6_coleta_20260423_083742_milho_20260423_082457.jpg,milho,8051,0.152863,1.0132,0.1529,0.0756,1157,12.8946,0.13485,0.413939,0.505454,0.619193,1.184898,0.828444,-2.086965
180_p7_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3806,0.526782,1.0,0.5268,0.3065,395,6.4027,0.690361,1.920173,3.058834,3.878879,7.475183,4.98028,7.524064
180_p8_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3339,0.207908,0.7534,0.2079,0.1588,514,8.8952,0.183475,0.401431,1.603812,1.734907,3.404946,1.962821,4.656932
180_p9_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1889,0.374802,0.7143,0.3748,0.1521,395,9.0883,0.476228,1.875931,1.880151,4.098541,7.24599,5.036541,-7.231071
180_p10_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1626,0.636399,2.0857,0.6364,0.3607,238,5.9022,0.626257,1.560307,2.974186,4.09541,-7.638383,-4.877276,-8.346414
270_p0_coleta_20260423_083742_milho_20260423_082457.jpg,milho,210808,0.173503,0.6417,0.1735,0.026,10103,22.0043,0.151075,0.809068,1.127523,2.227369,-4.224114,-2.842565,-3.961522
270_p1_coleta_20260423_083742_milho_20260423_082457.jpg,milho,76530,0.221696,1.767,0.2217,0.0866,3333,12.0481,0.188823,0.481986,1.373821,2.15309,-4.609505,-2.928324,3.925664
270_p2_coleta_20260423_083742_milho_20260423_082457.jpg,milho,16508,0.362256,0.9677,0.3623,0.207,1001,7.7909,0.521013,1.401804,2.069787,3.346172,-6.128293,-4.261152,6.323517
270_p3_coleta_20260423_083742_milho_20260423_082457.jpg,milho,14092,0.280538,0.674,0.2805,0.2276,882,7.4299,0.308217,0.673013,2.012432,2.19085,4.293538,2.552061,5.451236
270_p4_coleta_20260423_083742_milho_20260423_082457.jpg,milho,12440,0.077583,1.7124,0.0776,0.0405,1965,17.6178,-0.047167,0.105715,0.100861,0.175538,0.334298,0.233199,-0.835797
270_p5_coleta_20260423_083742_milho_20260423_082457.jpg,milho,9472,0.484997,0.8129,0.485,0.385,556,5.7129,0.622323,1.722704,2.593163,3.194725,6.406943,4.59596,-6.145682
270_p6_coleta_20260423_083742_milho_20260423_082457.jpg,milho,8051,0.152863,0.987,0.1529,0.0756,1157,12.8946,0.13485,0.413939,0.505454,0.619193,1.184898,0.828444,-2.086965
270_p7_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3806,0.526782,1.0,0.5268,0.3065,395,6.4027,0.690361,1.920173,3.058834,3.878879,7.475183,4.98028,7.524064
270_p8_coleta_20260423_083742_milho_20260423_082457.jpg,milho,3339,0.207908,1.3273,0.2079,0.1588,514,8.8952,0.183475,0.401431,1.603812,1.734907,3.404946,1.962821,4.656932
270_p9_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1889,0.374802,1.4,0.3748,0.1521,395,9.0883,0.476228,1.875931,1.880151,4.098541,7.24599,5.036541,-7.231071
270_p10_coleta_20260423_083742_milho_20260423_082457.jpg,milho,1626,0.636399,0.4795,0.6364,0.3607,238,5.9022,0.626257,1.560307,2.974186,4.09541,-7.638383,-4.877276,-8.346414
0_p0_coleta_20260423_083510_milho_20260423_082632.jpg,milho,184199,0.209034,1.0502,0.209,0.021,10487,24.4347,0.3551,2.41085,2.257181,2.591418,5.511969,-4.701543,5.039017
0_p1_coleta_20260423_083510_milho_20260423_082632.jpg,milho,5758,0.175282,0.6489,0.1753,0.1004,849,11.1885,0.084689,0.232275,1.800709,2.554456,4.736412,2.677874,-5.582202
0_p2_coleta_20260423_083510_milho_20260423_082632.jpg,milho,2551,0.543691,1.0147,0.5437,0.4365,271,5.3655,0.682061,2.003924,2.538553,3.320485,6.254737,4.391977,-7.083172
0_p3_coleta_20260423_083510_milho_20260423_082632.jpg,milho,1469,0.553922,0.4359,0.5539,0.3849,219,5.7139,0.559651,1.375184,2.643053,3.725674,7.287211,6.508324,6.952089
0_p4_coleta_20260423_083510_milho_20260423_082632.jpg,milho,1262,0.278957,2.9744,0.279,0.0948,409,11.5131,0.204351,0.564921,1.334588,2.554437,-4.535173,-2.842044,4.905691
0_p5_coleta_20260423_083510_milho_20260423_082632.jpg,milho,1214,0.545373,1.2619,0.5454,0.547,167,4.793,0.637104,1.558566,4.167296,4.850391,9.4112,5.81708,9.695222
90_p0_coleta_20260423_083510_milho_20260423_082632.jpg,milho,184199,0.209034,0.9522,0.209,0.021,10487,24.4347,0.3551,2.41085,2.257181,2.591418,5.511969,-4.701543,5.039017
90_p1_coleta_20260423_083510_milho_20260423_082632.jpg,milho,5758,0.175282,1.5411,0.1753,0.1004,849,11.1885,0.084689,0.232275,1.800709,2.554456,4.736412,2.677874,-5.582202
90_p2_coleta_20260423_083510_milho_20260423_082632.jpg,milho,2551,0.543691,0.9855,0.5437,0.4365,271,5.3655,0.682061,2.003924,2.538553,3.320485,6.254737,4.391977,-7.083172
90_p3_coleta_20260423_083510_milho_20260423_082632.jpg,milho,1469,0.553922,2.2941,0.5539,0.3849,219,5.7139,0.559651,1.375184,2.643053,3.725674,7.287211,6.508324,6.952089
90_p4_coleta_20260423_083510_milho_20260423_082632.jpg,milho,1262,0.278957,0.3362,0.279,0.0948,409,11.5131,0.204351,0.564921,1.334588,2.554437,-4.535173,-2.842044,4.905691
