arquivo,classe,area_px,area_relativa,aspect_ratio,solidez,circularidade,perimetro,perimetro_norm
0_coleta_20260421_134652_milho_20260421_134257.jpg,milho,458113,0.038176,1.2683,0.0401,0.0137,20523,30.3218
90_coleta_20260421_134652_milho_20260421_134257.jpg,milho,458113,0.038176,0.7884,0.0401,0.0137,20523,30.3218
180_coleta_20260421_134652_milho_20260421_134257.jpg,milho,458113,0.038176,1.2683,0.0401,0.0137,20523,30.3218
270_coleta_20260421_134652_milho_20260421_134257.jpg,milho,458113,0.038176,0.7884,0.0401,0.0137,20523,30.3218
0_coleta_20260421_134642_milho_20260421_134337.jpg,milho,995527,0.082961,1.4609,0.0909,0.0065,43784,43.8823
90_coleta_20260421_134642_milho_20260421_134337.jpg,milho,995527,0.082961,0.6845,0.0909,0.0065,43784,43.8823
180_coleta_20260421_134642_milho_20260421_134337.jpg,milho,995527,0.082961,1.4609,0.0909,0.0065,43784,43.8823
270_coleta_20260421_134642_milho_20260421_134337.jpg,milho,995527,0.082961,0.6845,0.0909,0.0065,43784,43.8823
0_coleta_20260421_134637_milho_20260421_134408.jpg,milho,442094,0.036841,1.1088,0.0532,0.019,17111,25.7346
90_coleta_20260421_134637_milho_20260421_134408.jpg,milho,442094,0.036841,0.9018,0.0532,0.019,17111,25.7346
180_coleta_20260421_134637_milho_20260421_134408.jpg,milho,442094,0.036841,1.1088,0.0532,0.019,17111,25.7346
270_coleta_20260421_134637_milho_20260421_134408.jpg,milho,442094,0.036841,0.9018,0.0532,0.019,17111,25.7346
0_coleta_20260421_134639_milho_20260421_134401.jpg,milho,253749,0.021146,1.3333,0.0211,0.0076,20478,40.6523
90_coleta_20260421_134639_milho_20260421_134401.jpg,milho,253749,0.021146,0.75,0.0211,0.0076,20478,40.6523
180_coleta_20260421_134639_milho_20260421_134401.jpg,milho,253749,0.021146,1.3333,0.0211,0.0076,20478,40.6523
270_coleta_20260421_134639_milho_20260421_134401.jpg,milho,253749,0.021146,0.75,0.0211,0.0076,20478,40.6523
0_coleta_20260421_134647_milho_20260421_134310.jpg,milho,339930,0.028327,1.3766,0.03,0.0094,21296,36.5261
90_coleta_20260421_134647_milho_20260421_134310.jpg,milho,339930,0.028327,0.7264,0.03,0.0094,21296,36.5261
180_coleta_20260421_134647_milho_20260421_134310.jpg,milho,339930,0.028327,1.3766,0.03,0.0094,21296,36.5261
270_coleta_20260421_134647_milho_20260421_134310.jpg,milho,339930,0.028327,0.7264,0.03,0.0094,21296,36.5261
0_coleta_20260421_134649_milho_20260421_134306.jpg,milho,343983,0.028665,1.3578,0.0304,0.0082,22920,39.0792
90_coleta_20260421_134649_milho_20260421_134306.jpg,milho,343983,0.028665,0.7365,0.0304,0.0082,22920,39.0792
180_coleta_20260421_134649_milho_20260421_134306.jpg,milho,343983,0.028665,1.3578,0.0304,0.0082,22920,39.0792
270_coleta_20260421_134649_milho_20260421_134306.jpg,milho,343983,0.028665,0.7365,0.0304,0.0082,22920,39.0792
0_coleta_20260421_134650_milho_20260421_134300.jpg,milho,365685,0.030474,1.2413,0.0327,0.0114,20086,33.2154
90_coleta_20260421_134650_milho_20260421_134300.jpg,milho,365685,0.030474,0.8056,0.0327,0.0114,20086,33.2154
180_coleta_20260421_134650_milho_20260421_134300.jpg,milho,365685,0.030474,1.2413,0.0327,0.0114,20086,33.2154
270_coleta_20260421_134650_milho_20260421_134300.jpg,milho,365685,0.030474,0.8056,0.0327,0.0114,20086,33.2154
0_coleta_20260421_134641_milho_20260421_134347.jpg,milho,539585,0.044965,1.3333,0.045,0.0062,32975,44.8905
90_coleta_20260421_134641_milho_20260421_134347.jpg,milho,539585,0.044965,0.75,0.045,0.0062,32975,44.8905
180_coleta_20260421_134641_milho_20260421_134347.jpg,milho,539585,0.044965,1.3333,0.045,0.0062,32975,44.8905
270_coleta_20260421_134641_milho_20260421_134347.jpg,milho,539585,0.044965,0.75,0.045,0.0062,32975,44.8905
0_coleta_20260421_134645_milho_20260421_134313.jpg,milho,292843,0.024404,1.3143,0.028,0.0067,23404,43.2487
90_coleta_20260421_134645_milho_20260421_134313.jpg,milho,292843,0.024404,0.7609,0.028,0.0067,23404,43.2487
180_coleta_20260421_134645_milho_20260421_134313.jpg,milho,292843,0.024404,1.3143,0.028,0.0067,23404,43.2487
270_coleta_20260421_134645_milho_20260421_134313.jpg,milho,292843,0.024404,0.7609,0.028,0.0067,23404,43.2487
0_coleta_20260421_134654_milho_20260421_134254.jpg,milho,343195,0.0286,1.2433,0.0307,0.0082,22893,39.078
90_coleta_20260421_134654_milho_20260421_134254.jpg,milho,343195,0.0286,0.8043,0.0307,0.0082,22893,39.078
180_coleta_20260421_134654_milho_20260421_134254.jpg,milho,343195,0.0286,1.2433,0.0307,0.0082,22893,39.078
270_coleta_20260421_134654_milho_20260421_134254.jpg,milho,343195,0.0286,0.8043,0.0307,0.0082,22893,39.078
0_coleta_20260421_134616_erva_daninha_20260421_134449.jpg,erva_daninha,983240,0.081937,1.3333,0.0819,0.0003,213352,215.1627
90_coleta_20260421_134616_erva_daninha_20260421_134449.jpg,erva_daninha,983240,0.081937,0.75,0.0819,0.0003,213352,215.1627
180_coleta_20260421_134616_erva_daninha_20260421_134449.jpg,erva_daninha,983240,0.081937,1.3333,0.0819,0.0003,213352,215.1627
270_coleta_20260421_134616_erva_daninha_20260421_134449.jpg,erva_daninha,983240,0.081937,0.75,0.0819,0.0003,213352,215.1627
0_coleta_20260421_134704_erva_daninha_20260421_134433.jpg,erva_daninha,638925,0.053244,1.2867,0.0552,0.0009,92014,115.1142
90_coleta_20260421_134704_erva_daninha_20260421_134433.jpg,erva_daninha,638925,0.053244,0.7772,0.0552,0.0009,92014,115.1142
180_coleta_20260421_134704_erva_daninha_20260421_134433.jpg,erva_daninha,638925,0.053244,1.2867,0.0552,0.0009,92014,115.1142
270_coleta_20260421_134704_erva_daninha_20260421_134433.jpg,erva_daninha,638925,0.053244,0.7772,0.0552,0.0009,92014,115.1142
0_coleta_20260421_134636_erva_daninha_20260421_134423.jpg,erva_daninha,3073853,0.256154,1.3333,0.2562,0.0021,135657,77.375
90_coleta_20260421_134636_erva_daninha_20260421_134423.jpg,erva_daninha,3073853,0.256154,0.75,0.2562,0.0021,135657,77.375
180_coleta_20260421_134636_erva_daninha_20260421_134423.jpg,erva_daninha,3073853,0.256154,1.3333,0.2562,0.0021,135657,77.375
270_coleta_20260421_134636_erva_daninha_20260421_134423.jpg,erva_daninha,3073853,0.256154,0.75,0.2562,0.0021,135657,77.375
0_coleta_20260421_134619_erva_daninha_20260421_134436.jpg,erva_daninha,1502133,0.125178,1.3333,0.1252,0.0007,163004,132.9977
90_coleta_20260421_134619_erva_daninha_20260421_134436.jpg,erva_daninha,1502133,0.125178,0.75,0.1252,0.0007,163004,132.9977
180_coleta_20260421_134619_erva_daninha_20260421_134436.jpg,erva_daninha,1502133,0.125178,1.3333,0.1252,0.0007,163004,132.9977
270_coleta_20260421_134619_erva_daninha_20260421_134436.jpg,erva_daninha,1502133,0.125178,0.75,0.1252,0.0007,163004,132.9977
0_coleta_20260421_134602_erva_daninha_20260421_134512.jpg,erva_daninha,209381,0.017448,1.6633,0.022,0.0056,21612,47.2309
90_coleta_20260421_134602_erva_daninha_20260421_134512.jpg,erva_daninha,209381,0.017448,0.6012,0.022,0.0056,21612,47.2309
180_coleta_20260421_134602_erva_daninha_20260421_134512.jpg,erva_daninha,209381,0.017448,1.6633,0.022,0.0056,21612,47.2309
270_coleta_20260421_134602_erva_daninha_20260421_134512.jpg,erva_daninha,209381,0.017448,0.6012,0.022,0.0056,21612,47.2309
0_coleta_20260421_134608_erva_daninha_20260421_134502.jpg,erva_daninha,1418895,0.118241,1.3333,0.1182,0.0001,359405,301.7234
90_coleta_20260421_134608_erva_daninha_20260421_134502.jpg,erva_daninha,1418895,0.118241,0.75,0.1182,0.0001,359405,301.7234
180_coleta_20260421_134608_erva_daninha_20260421_134502.jpg,erva_daninha,1418895,0.118241,1.3333,0.1182,0.0001,359405,301.7234
270_coleta_20260421_134608_erva_daninha_20260421_134502.jpg,erva_daninha,1418895,0.118241,0.75,0.1182,0.0001,359405,301.7234
0_coleta_20260421_134600_erva_daninha_20260421_134540.jpg,erva_daninha,2272203,0.18935,1.3333,0.1894,0.0007,198997,132.0149
90_coleta_20260421_134600_erva_daninha_20260421_134540.jpg,erva_daninha,2272203,0.18935,0.75,0.1894,0.0007,198997,132.0149
180_coleta_20260421_134600_erva_daninha_20260421_134540.jpg,erva_daninha,2272203,0.18935,1.3333,0.1894,0.0007,198997,132.0149
270_coleta_20260421_134600_erva_daninha_20260421_134540.jpg,erva_daninha,2272203,0.18935,0.75,0.1894,0.0007,198997,132.0149
0_coleta_20260421_134605_erva_daninha_20260421_134509.jpg,erva_daninha,274988,0.022916,1.2889,0.0251,0.0021,40233,76.723
90_coleta_20260421_134605_erva_daninha_20260421_134509.jpg,erva_daninha,274988,0.022916,0.7758,0.0251,0.0021,40233,76.723
