arquivo,classe,area_px,area_relativa,aspect_ratio,solidez,circularidade,perimetro,perimetro_norm,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
p0_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2492,0.199679,0.7385,0.1997,0.189,407,8.1531,0.131743,0.31426,1.651784,2.018445,3.855301,2.182655,-4.902347
p1_coleta_20260421_134652_milho_20260421_134257.jpg,milho,1608,0.36637,1.3509,0.3664,0.1542,362,9.0275,0.53723,1.862103,1.975782,3.376179,7.260314,-4.860136,6.052993
p2_coleta_20260421_134652_milho_20260421_134257.jpg,milho,5523,0.371469,0.9365,0.3715,0.1392,706,9.4999,0.615986,2.333626,2.980221,3.385684,-6.667927,4.72544,6.786314
p3_coleta_20260421_134652_milho_20260421_134257.jpg,milho,4355,0.274937,1.3091,0.2749,0.2531,465,7.0463,0.344969,0.784444,1.58653,1.877493,3.615204,2.316483,4.402796
p4_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2611,0.487127,1.194,0.4871,0.2296,378,7.3976,0.668359,2.283415,2.90796,4.11017,-8.422948,5.829935,7.624664
p5_coleta_20260421_134652_milho_20260421_134257.jpg,milho,1643,0.319153,1.1818,0.3192,0.273,275,6.7844,0.386179,0.855202,2.581504,3.474543,-6.990971,-4.162816,6.526773
p6_coleta_20260421_134652_milho_20260421_134257.jpg,milho,376245,0.251996,0.9757,0.252,0.0436,10418,16.9844,0.337168,2.522454,1.546081,2.603084,4.921263,-4.525413,4.763238
p7_coleta_20260421_134652_milho_20260421_134257.jpg,milho,41203,0.494586,1.4958,0.4946,0.2023,1600,7.8823,0.599036,1.833048,2.694289,3.87067,7.605799,4.870617,7.181988
p8_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2969,0.427687,1.141,0.4277,0.277,367,6.7354,0.478632,1.226053,2.584696,3.368108,-8.009716,-4.241389,-6.344612
p9_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2539,0.696571,1.8,0.6966,0.5979,231,4.5844,0.722761,2.002339,4.107885,4.880216,9.386018,5.942991,10.013442
p10_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2809,0.490826,0.6082,0.4908,0.4084,294,5.5472,0.592776,1.495459,2.335437,2.707938,5.234517,3.535873,-6.055707
p11_coleta_20260421_134652_milho_20260421_134257.jpg,milho,2559,0.748246,1.0526,0.7482,0.8633,193,3.8152,0.787123,2.972445,5.10281,7.182879,-13.854712,-9.468394,-13.345607
p12_coleta_20260421_134652_milho_20260421_134257.jpg,milho,1277,0.80264,0.8605,0.8026,1.0437,124,3.47,0.787316,3.204366,3.888871,7.06653,13.499636,-8.821307,-12.546913
